dir,y_pre,y_exp
.\Acetylcholinesterase\large\ctrl,4.898328375345916,4.1921268679966674
.\Acetylcholinesterase\large\ctrl,6.335708571560858,7.096910013008056
.\Acetylcholinesterase\large\ctrl,5.29443359264994,4.6020599913279625
.\Acetylcholinesterase\large\ctrl,5.407638869459996,7.045757490560675
.\Acetylcholinesterase\large\ctrl,6.580302661282087,7.096910013008056
.\Acetylcholinesterase\large\ctrl,4.127439795864619,4.161339774011059
.\Acetylcholinesterase\large\ctrl,4.287810318960602,4.180456064458132
.\Acetylcholinesterase\large\ctrl,5.602085358499534,6.443697499232713
.\Acetylcholinesterase\large\ctrl,4.646209027522966,5.221848749616356
.\Acetylcholinesterase\large\ctrl,5.054277615620274,5.3979400086720375
.\Acetylcholinesterase\large\ctrl,4.483811855382761,6.096910013008056
.\Acetylcholinesterase\large\ctrl,4.732812891200043,6.154901959985743
.\Acetylcholinesterase\large\ctrl,7.648496280499865,9.0
.\Acetylcholinesterase\large\ctrl,4.240255523459425,4.134718315004389
.\Acetylcholinesterase\large\ctrl,4.146004325575864,4.064240896254688
.\Acetylcholinesterase\large\ctrl,5.183875025667223,4.241088107602026
.\Acetylcholinesterase\large\ctrl,7.812450112946568,4.0
.\Acetylcholinesterase\large\ctrl,5.309062909866129,4.823908740944319
.\Acetylcholinesterase\large\ctrl,3.827351226089237,4.074997492319023
.\Acetylcholinesterase\large\ctrl,4.149120841903297,4.115091405837393
.\Acetylcholinesterase\large\ctrl,3.7876090539966265,4.206139798657331
.\Acetylcholinesterase\large\ctrl,4.79829379346158,4.180456064458132
.\Acetylcholinesterase\large\ctrl,5.958045889190803,4.42021640338319
.\Acetylcholinesterase\large\ctrl,4.598192218018934,3.883558302460688
.\Acetylcholinesterase\large\ctrl,4.2275230051045,4.237471477553
.\Acetylcholinesterase\large\ctrl,4.493866677093334,4.013093968619279
.\Acetylcholinesterase\large\ctrl,4.760213419105703,5.769551078621726
.\Acetylcholinesterase\large\ctrl,6.384009054979499,4.455931955649724
.\Acetylcholinesterase\large\ctrl,5.077616024253599,5.659990122152434
.\Acetylcholinesterase\large\ctrl,5.2331938229376185,7.0
.\Acetylcholinesterase\large\ctrl,4.023691887824142,4.101165161931726
.\Acetylcholinesterase\large\ctrl,4.361215719395197,4.007269796045858
.\Acetylcholinesterase\large\ctrl,4.444701816463272,4.056406567231631
.\Acetylcholinesterase\large\ctrl,5.534470434062373,6.568636235841013
.\Acetylcholinesterase\large\ctrl,5.193412235764864,4.196474604423468
.\Acetylcholinesterase\large\ctrl,4.669390277259349,3.9408532805738017
.\Acetylcholinesterase\large\ctrl,4.514820069409826,5.698970004336019
.\Acetylcholinesterase\large\ctrl,8.079371195475382,7.522878745280337
