IDX,y,TI2,BAC,piPC02,X4sol,ATS4p,MATS1v,ESpm11d,ESpm15d,ESpm12r,BELe8,GGI7,HATS4v,H2e,B03[S-I],PC04-05,PC22-11
104091399,3.4825929463478458,2.618,13.0,4.021,6.874,3.392,0.057,15.228,20.601,17.411,0.799,0.219,0.103,2.997,0.0,-0.0607,-0.0386
104091401,3.529913071591167,2.606,12.0,4.003,6.363,3.313,0.048,15.221,20.591,17.405,0.799,0.219,0.114,2.862,0.0,0.0960842,0.1585611
104102563,3.378823718224965,3.147,11.0,4.434,10.148,3.644,-0.131,15.203,20.425,18.019,0.938,0.568,0.084,3.475,0.0,-0.00579,1.721356
104091397,3.397940008672037,2.855,16.0,4.039,7.185,3.44,-0.071,15.242,20.606,17.42,0.799,0.219,0.101,2.947,0.0,-0.1420699,0.3061234
104158513,4.095717342354372,1.783,6.0,3.695,5.797,3.145,-0.007,15.294,20.658,17.547,0.081,0.015,0.14,2.514,0.0,0.7665819,1.275033
104158518,4.021363051615526,1.783,6.0,3.695,6.488,3.316,0.207,15.294,20.658,17.505,0.081,0.015,0.156,2.547,0.0,0.9485135,0.809641
104102576,5.345823458122039,2.88,11.0,4.46,10.324,3.706,-0.065,15.201,20.424,18.015,0.859,0.609,0.089,3.606,0.0,0.00473,-0.1922731
104102575,5.345823458122039,2.831,10.0,4.449,10.014,3.669,0.003,15.187,20.418,18.01,0.857,0.609,0.086,3.467,0.0,0.0881,-0.9029799
104102579,4.427012291801795,1.345,11.0,3.597,4.182,2.524,-0.095,14.725,20.0,17.176,0.0,0.028,0.138,1.783,0.0,0.6730046,1.919282
104102494,4.041914151478915,4.417,10.0,4.398,8.575,3.399,-0.056,14.826,20.041,17.627,0.89,0.449,0.075,3.723,0.0,-0.4342434,0.42611
104102520,4.537602002101044,5.185,12.0,4.449,9.341,3.553,-0.041,14.85,20.052,17.632,0.881,0.443,0.075,3.756,0.0,-0.5574559,-0.8608018
104158522,6.154901959985743,3.322,2.0,4.056,8.673,3.593,0.195,15.389,20.786,17.616,0.799,0.187,0.12,2.797,0.0,0.5099568,0.935444
104102504,4.515700160653214,4.782,10.0,4.425,8.742,3.449,0.028,14.824,20.04,17.622,0.857,0.443,0.091,3.429,0.0,-0.3878981,-1.206533
104102578,5.465973893943865,1.169,10.0,3.541,4.125,2.574,-0.171,15.447,20.911,17.119,0.0,0.0,0.226,1.467,0.0,0.7975699,1.454145
104102534,3.387099640876207,2.991,10.0,4.422,9.837,3.605,-0.077,15.188,20.419,18.014,0.915,0.568,0.086,3.243,0.0,0.0789,0.9289737
